Weather,Road_Type,Speed_Limit,Vehicle_Count,Severity
Clear,Highway,80,3,Major
Rainy,City,40,2,Minor
Foggy,Highway,60,4,Major
Clear,City,50,1,Minor
Rainy,Rural,70,3,Major
Foggy,City,40,2,Minor
Clear,Rural,90,5,Major
Rainy,Highway,80,4,Major
Clear,City,60,2,Minor
Foggy,Rural,70,3,Major
Clear,Highway,100,5,Major
Rainy,City,50,1,Minor
Foggy,Highway,70,4,Major
Clear,Rural,80,3,Major
Rainy,Rural,60,2,Minor
Foggy,City,50,2,Minor
Clear,Highway,90,4,Major
Rainy,Highway,70,3,Major
Foggy,Rural,60,2,Minor
Clear,City,40,1,Minor
Rainy,Highway,90,5,Major
Foggy,Highway,80,4,Major
Clear,Rural,70,3,Major
Rainy,City,60,2,Minor
Foggy,Rural,50,1,Minor
Clear,Highway,110,5,Major
Rainy,Rural,80,4,Major
Foggy,City,60,2,Minor
Clear,City,70,3,Major
Rainy,Highway,60,2,Minor
